name,date
OR971593,2021.01096
OR971594,2021.63288
OR971595,2021.6411
OR971596,2021.65205
OR971597,2021.52055
OR971598,2021.93973
OR971599,2021.69589
RADDL1-16-153,2016.54372
RADDL1-16-154,2016.55191
RADDL1-16-166,2016.60383
RADDL3-1038,2015.80548
RADDL3-1045,2015.80822
RADDL3-15-172,2015.11507
RADDL3-16-1008,2016.81967
RADDL3-16-468,2016.4153
RADDL3-16-521,2016.45355
RADDL3-16-627,2016.56831
RADDL3-845,2015.66849
RADDL4B-23-042,2023.51233
RADDL4B-23-044,2023.58082
RADDL4B-23-045,2023.5863
RADDL4B-23-046,2023.50411
RADDL4B-23-047,2023.6411
RADDL4B-23-049,2023.66301
RADDL4B-23-052,2023.65753
RADDL4B-23-056,2023.69315
RADDL4B-23-057,2023.72877
RADDL4B-23-058,2023.75068
RADDL4B-23-060,2023.76164
RADDL4B-23-061,2023.76986
RADDL4B-23-065,2023.80822
RADDL4B-23-070,2023.80822
RADDL4B-23-072,2023.80822
RADDL4B-23-076,2023.79178
RADDL4B-23-080,2023.81644
RADDL4B-23-081,2023.74521
RADDL4B-23-085,2023.63288
RADDL4B-23-089,2023.54795
RADDL4B-23-090,2023.87397
RADDL4B-23-092,2023.93151
RADDL4B-23-093,2023.90137
RADDL4B-23-094,2023.90685
RADDL4B-23-095,2023.90685
RADDL4B-23-097,2023.90411
RADDL4B-23-098,2023.90411
RADDL4B-23-099,2023.91233
RADDL4B-23-100,2023.92603
RADDL4B-23-101,2023.92603
RADDL4B-23-104,2023.94521
RADDL4B-23-105,2023.86575
RADDL4B-24-001,2024.01093
RADDL4B-24-002,2024.02186
RADDL4B-24-003,2024.02186
RADDL4B-24-007,2024.04372
RADDL4B-24-009,2024.0765
RADDL4B-24-011,2024.06284
RADDL4B-24-012,2024.06557
RADDL4B-24-013,2024.04098
RADDL4B-24-014,2024.0765
RADDL4B-24-015,2024.08197
RADDL4B-24-016,2024.08197
RADDL4B-24-017,2024.06557
RADDL4B-24-018,2024.0847
RADDL4B-24-019,2024.10383
RADDL4B-24-021,2024.0847
RADDL4B-24-023,2024.12295
RADDL4B-24-026,2024.12568
RADDL4B-24-027,2024.12022
RADDL4B-24-028,2024.12022
RADDL4B-24-029,2024.13661
RADDL4B-24-030,2024.12842
RADDL4B-24-034,2024.1612
RADDL4B-24-035,2024.15301
RADDL4B-24-037,2024.15847
RADDL4B-24-038,2024.17486
RADDL4B-24-042,2024.11475
RADDL4B-24-043,2024.17213
RADDL4B-24-046,2024.18852
RADDL4B-24-048,2024.18033
RADDL4B-24-049,2024.19672
RADDL4B-24-051,2024.23224
RADDL4B-24-052,2024.24044
RADDL4B-24-053,2024.20765
RADDL4B-24-054,2024.21585
RADDL4B-24-055,2024.21858
RADDL4B-24-056,2024.23224
RADDL4B-24-057,2024.05191
RADDL4B-24-058,2024.21585
RADDL4B-24-059,2024.21585
RADDL4B-24-062,2024.05191
RADDL4B-24-063,2024.28142
RADDL4B-24-066,2024.80055
RADDL4B-24-067,2024.13661
RADDL4B-24-069,2024.21585
RADDL4B-24-070,2024.30055
RADDL4B-24-071,2024.38251
RADDL4B-24-073,2024.54918
RADDL4B-24-074,2024.88525
RADDL4B-24-076,2024.54918
RADDL4B-24-077,2024.88525
RADDL4B-24-078,2024.96721
RADDL4B-24-080,2024.29508
RADDL4B-24-081,2024.28689
RADDL4B-24-082,2024.29508
RADDL4B-24-084,2024.29781
RADDL4B-24-085,2024.30055
RADDL4B-24-086,2024.30055
RADDL4B-24-087,2024.30328
RADDL4B-24-088,2024.30601
RADDL4B-24-093,2024.32514
RADDL4B-24-095,2024.21585
RADDL4B-24-096,2024.28689
RADDL4B-24-097,2024.31694
RADDL4B-24-098,2024.32787
RADDL4B-24-099,2024.21585
RADDL4B-24-100,2024.31148
RADDL4B-24-101,2024.31421
RADDL4B-24-102,2024.3224
RADDL4B-24-106,2024.21585
RADDL4B-24-107,2024.21585
RADDL4B-24-112,2024.37158
RADDL4B-24-113,2024.63388
RADDL4B-24-114,2024.37705
RADDL4B-24-116,2024.36339
RADDL4B-24-117,2024.63388
RADDL4B-24-120,2024.71858
RADDL4B-24-121,2024.71858
RADDL4B-24-122,2024.80055
RADDL4B-24-124,2024.36339
RADDL4B-24-125,2024.36339
RADDL4B-24-127,2024.37158
RADDL4B-24-138,2024.46721
RADDL4B-24-151,2024.51639
RADDL4B-24-153,2024.56284
RADDL4B-24-154,2024.53552
RADDL4B-24-155,2024.52459
RADDL4B-24-156,2024.56557
RADDL4B-24-157,2024.51639
RADDL4B-24-162,2024.7377
RADDL4B-24-173,2024.63388
RADDL4B-24-174,2024.89071
RADDL4B-24-178,2024.53552
RADDL4B-24-180,2024.63934
RADDL4B-24-181,2024.68852
RADDL4B-24-183,2024.88525
