seq_name	Preferred_date	Region_std
OR971555	27-Oct-21	R6
OR971554	29-Oct-21	R6
OR971553	27-Oct-21	R6
OR971552	26-Oct-21	R6
OR971551	25-Oct-21	R6
OR971550	25-Oct-21	R6
OR971549	22-Oct-21	R6
OR971548	19-Oct-21	R6
OR971547	19-Oct-21	R6
OR971546	13-Oct-21	R6
OR971545	12-Oct-21	R6
OR971494	16-Feb-22	R17
OR971493	9-Feb-22	R17
OR971492	2-Sep-22	R17
OR971491	4-Feb-22	R17
OR971490	14-Jan-22	R17
OR971489	5-Jan-22	R17
OR971488	23-Apr-21	R17
OR971487	14-Apr-21	R17
OR971486	3-Oct-21	R17
OR971485	3-May-21	R17
OR971484	2-Sep-21	R17
OR971483	16-Aug-19	R17
OR971482	24-Mar-22	R4
OR971481	3-Oct-22	R4
OR971480	24-Feb-22	R4
OR971479	22-Feb-22	R4
OR971478	17-Feb-22	R4
OR971477	15-Feb-22	R4
OR971476	14-Feb-22	R4
OR971475	2-Jul-22	R4
OR971474	25-Jan-22	R4
OR971473	25-Jan-22	R4
OR971472	24-Jan-22	R4
OR971471	21-Jan-22	R4
OR971470	1-Nov-22	R4
OR971469	12-Jan-21	R4
OR971468	11-Nov-21	R4
OR971467	23-Sep-21	R4
OR971466	26-Aug-21	R4
OR971465	26-Aug-21	R4
OR971464	8-Nov-21	R4
OR971463	8-May-21	R4
OR971462	27-Jul-21	R4
OR971461	29-Nov-21	R4
OR971460	10-Dec-21	R4
OR971459	29-May-20	R4
OR971458	4-Mar-20	R4
OR971457	3-Jan-20	R4
OR971456	27-Aug-19	R4
OR971455	5-Aug-19	R4
OR971454	24-Oct-19	R4
OR971453	17-Oct-19	R4
OR971452	3-Oct-19	R4
OR971451	25-Sep-19	R4
OR971450	9-Sep-19	R4
OR971449	27-Aug-19	R4
OR971448	1-Aug-19	R4
OR971447	6-May-19	R4
OR971446	18-Jan-22	R3
OR971445	13-Jan-22	R3
OR971394	1-Jan-19	R1
OR971393	20-Aug-19	R2
OR971392	21-Apr-22	R1
OR971391	18-Apr-22	R1
OR971390	4-Apr-22	R1
OR971389	8-Nov-21	R1
OR971388	2-Nov-21	R1
OR971387	29-Oct-21	R1
OR971386	28-Oct-21	R1
OR971385	6-Nov-19	R1
OR971384	21-Oct-19	R1
OR971383	15-Oct-19	R1
OR971382	1-Oct-19	R1
OR971381	10-Sep-19	R1
OR971380	28-Sep-22	R13
OR971379	23-Sep-22	R13
OR971378	16-Sep-22	R13
OR971377	8-Sep-22	R13
OR971376	5-Sep-22	R13
OR971375	30-Aug-22	R13
OR971374	26-Aug-22	R13
OR971373	26-Aug-22	R13
OR971372	22-Aug-22	R13
OR971371	18-Aug-22	R13
OR971370	15-Aug-22	R13
OR971369	15-Aug-22	R13
OR971368	9-Aug-22	R13
OR971367	9-Aug-22	R13
OR971366	5-Aug-22	R13
OR971365	21-Jul-22	R13
OR971364	28-Jun-22	R13
OR971363	27-Jun-22	R13
OR971362	13-Jun-22	R13
OR971361	10-Jun-22	R13
OR971360	11-May-21	R13
OR971359	11-Feb-21	R13
OR971358	13-Oct-21	R13
OR971357	10-Jul-21	R13
OR971356	10-Jan-20	R13
OR971355	21-Sep-20	R13
OR971354	24-Aug-20	R13
OR971353	23-Jul-20	R13
OR971352	15-Jun-20	R13
OR971351	31-Mar-20	R13
OR971350	5-Feb-20	R13
OR971349	30-Sep-19	R13
OR971348	24-Sep-19	R13
OR971347	5-Sep-19	R13
OR971346	16-Mar-22	R14
OR971345	3-Oct-22	R14
OR971675	20-Oct-21	R8
OR971674	18-Oct-21	R8
OR971673	10-Jun-21	R8
OR971672	15-Sep-21	R8
OR971671	25-Aug-21	R8
OR971670	7-May-21	R8
OR971669	30-Jun-21	R8
OR971668	30-May-21	R8
OR971667	3-Oct-21	R8
OR971666	9-Aug-21	R12
OR971665	9-Aug-21	R12
OR971664	1-Jul-21	R12
OR971663	24-Jun-21	R12
OR971662	9-Mar-21	R12
OR971661	3-Mar-21	R12
OR971660	23-Feb-21	R12
OR971659	18-Feb-21	R12
OR971658	16-Feb-21	R12
OR971657	16-Feb-21	R12
OR971656	2-Feb-21	R12
OR971655	2-Feb-21	R12
OR971654	19-Jan-21	R12
OR971653	14-Jan-21	R12
OR971652	11-Jan-21	R12
OR971651	11-Jan-21	R12
OR971650	5-Jan-21	R12
OR971649	7-Nov-19	R12
OR971648	5-Sep-19	R12
OR971647	27-Aug-19	R12
OR971646	2-Aug-19	R12
OR971645	23-Jul-19	R12
14	28-Jan-19	R5
153	17-May-18	R5
19-30	2-Nov-19	R5
19-40	27-Feb-19	R5
4A-22-104	25-Jan-22	R4
4A-22-171	6-Feb-22	R4
4A-22-203	11-Feb-22	R4
4A-22-40	10-Jan-22	R4
4A-22-98	22-Jan-22	R4
4B-21-126	26-Jan-21	R17
4B-21-29	9-Feb-21	R17
4B-21-310	10-Mar-21	R17
4B-21-35	5-Mar-21	R17
4B-21-412	12-Apr-21	R17
4B-21-421	14-Apr-21	R17
4B-21-423	23-Apr-21	R17
4B-21-528	28-May-21	R17
4B-21622	16-Feb-22	R17
4B-22-114	14-Jan-22	R17
4B-22-13	22-Apr-22	R17
4B-22-15	5-Jan-22	R17
4B-22-16	28-Apr-22	R17
4B-22-17	8-May-22	R17
4B-22-20	19-May-22	R17
