#node	date	numeric date
NODE_0000498	2017-09-30	2017.746758
OR971642	2019-06-07	2019.431507
OR971651	2021-01-11	2021.028767
NODE_0000499	2017-06-29	2017.491819
OR971645	2019-07-23	2019.557534
NODE_0000500	2019-12-01	2019.915105
OR971658	2021-02-16	2021.127397
OR971654	2021-01-19	2021.050685
NODE_0000501	2016-03-28	2016.238244
NODE_0000502	2017-12-22	2017.973476
OR971664	2021-07-01	2021.497260
OR971647	2019-08-27	2019.653425
NODE_0000503	2018-09-05	2018.677003
NODE_0000504	2019-12-13	2019.949582
OR971660	2021-02-23	2021.146575
OR971650	2021-01-05	2021.012329
NODE_0000505	2018-12-02	2018.920206
OR971657	2021-02-16	2021.127397
OR971665	2021-08-09	2021.604110
NODE_0000506	2013-12-24	2013.978456
NODE_0000507	2014-05-09	2014.351791
NODE_0000508	2015-07-10	2015.522093
OR971641	2019-01-09	2019.023288
OR971648	2019-09-05	2019.678082
NODE_0000509	2017-01-16	2017.043155
OR971652	2021-01-11	2021.028767
NODE_0000510	2017-09-21	2017.723069
OR971646	2019-08-02	2019.584932
NODE_0000511	2018-09-12	2018.696197
OR971643	2019-06-19	2019.464384
OR971655	2021-02-02	2021.089041
NODE_0000512	2015-01-18	2015.048187
NODE_0000513	2020-10-06	2020.762586
OR971594	2021-08-20	2021.634247
R9-074	2021-08-20	2021.634247
NODE_0000514	2015-09-10	2015.693137
OR971597	2021-07-10	2021.521918
NODE_0000515	2016-03-28	2016.240081
NODE_0000516	2017-10-27	2017.819959
OR971598	2021-12-10	2021.941096
NODE_0000517	2018-08-06	2018.597194
OR971612	2019-12-04	2019.924658
OR971611	2019-12-04	2019.924658
NODE_0000518	2017-10-11	2017.777724
OR971595	2021-08-23	2021.642466
NODE_0000519	2018-11-21	2018.888021
R9-010	2020-01-27	2020.072404
OR971596	2021-08-27	2021.653425
OR971593	2021-01-05	2021.012329
NODE_0000262	1980-02-13	1980.119436
NODE_0000263	1987-02-24	1987.149027
KX148262	1994-01-01	1994.001370
