"","sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes"
"75","R2-22-5814","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43074",NA,"Amplicon","barcode27",NA,"Single run",NA,"49816","49816","1549.309252","1228.99752","1301","0","5161","11670","11344","11125","10258","No","NA","10820","R2-22-5814__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"76","R2-22-8924","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43074",NA,"Amplicon","barcode26",NA,"Single run",NA,"43115","43115","1423.587244","868.341573","1241","0","3806","11684","11682","11676","11676","No","NA","11591","R2-22-8924__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"77","R2-22-84711","1","run11_23","1","6/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAT96586",NA,"Amplicon","barcode31",NA,"Single run",NA,"142335","142335","4668.798441","3486.497806","3742.5","0","15083","11618","11586","11360","11151","No","NA","11266","R2-22-84711__run11_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"78","R3-0483","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67517",NA,"Amplicon","barcode03",NA,"Single run",NA,"27266","27266","1671.840513","598.1084858","1641","0","3181","11812","11677","11676","11676","No","NA","11579","R3-0483__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"79","R3-21-0467","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ72364",NA,"Amplicon","barcode15",NA,"Single run",NA,"8312","8312","268.9239859","322.2012554","90","0","1352","10516","9333","8622","5857","No","NA","8043","R3-21-0467__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"80","R3-731","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67517",NA,"Amplicon","barcode02",NA,"Single run",NA,"62721","62721","2664.61289","1103.346032","2491","0","5850","11886","11680","11676","11676","No","NA","11596","R3-731__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"81","R5-21-115","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ72364",NA,"Amplicon","barcode05",NA,"Single run",NA,"67761","67761","2364.112303","1142.209652","2134","0","5479","11905","11888","11887","11884","No","NA","11795","R5-21-115__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"82","R5-21-119","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ72364",NA,"Amplicon","barcode04",NA,"Single run",NA,"59368","59368","1958.928847","1115.970534","1800","0","4633","11886","11885","11884","11140","No","NA","11801","R5-21-119__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"83","R5-21-128","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ72364",NA,"Amplicon","barcode03",NA,"Single run",NA,"30755","30755","1154.376467","497.1962902","1056","0","2657","11906","11887","11886","11883","No","NA","11798","R5-21-128__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"84","R5-21-132","1","run3_21","1","17/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67614",NA,"Amplicon","barcode37",NA,"Single run",NA,"194519","194519","9247.281512","3605.793478","9216.5","0","17386","11900","11889","11885","11676","No","NA","11799","R5-21-132__run3_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
