ID,year,country,assignment
OR971602,2019,philippines,
OR971601,2019,philippines,
OR971600,2019,philippines,
OR971599,2021,philippines,
OR971598,2021,philippines,
OR971597,2021,philippines,
OR971596,2021,philippines,
OR971595,2021,philippines,
MN857171,2019,philippines,
MN857170,2019,philippines,
MN857169,2019,philippines,
MN857168,2019,philippines,
MN857167,2019,philippines,
OR971594,2021,philippines,
OR971593,2021,philippines,
OR971592,2019,philippines,
OR971591,2021,philippines,
OR971590,2021,philippines,
OR971589,2021,philippines,
OR971588,2021,philippines,
OR971587,2021,philippines,
OR971586,2021,philippines,
OR971585,2021,philippines,
OR971584,2021,philippines,
OR971583,NA,philippines,
OR971582,NA,philippines,
OR971581,NA,philippines,
OR971580,NA,philippines,
OR971579,NA,philippines,
OR971578,NA,philippines,
OR971577,2022,philippines,
OR971576,2022,philippines,
OR971575,2022,philippines,
OR971574,2022,philippines,
OR971573,2022,philippines,
OR971572,2022,philippines,
OR971571,2022,philippines,
OR971570,2021,philippines,
OR971569,2021,philippines,
OR971568,2021,philippines,
OR971567,2021,philippines,
OR971566,2021,philippines,
OR971565,2021,philippines,
OR971564,2021,philippines,
OR971563,2021,philippines,
OR971562,2021,philippines,
OR971561,2021,philippines,
OR971560,2021,philippines,
OR971559,2021,philippines,
OR971558,2021,philippines,
OR971557,2021,philippines,
OR971556,2021,philippines,
OR971555,2021,philippines,
OR971554,2021,philippines,
OR971553,2021,philippines,
OR971552,2021,philippines,
OR971551,2021,philippines,
OR971550,2021,philippines,
OR971549,2021,philippines,
OR971548,2021,philippines,
OR971547,2021,philippines,
OR971546,2021,philippines,
OR971545,2021,philippines,
OR971494,2022,philippines,
OR971493,2022,philippines,
OR971492,2022,philippines,
OR971491,2022,philippines,
OR971490,2022,philippines,
OR971489,2022,philippines,
OR971488,2021,philippines,
OR971487,2021,philippines,
OR971486,2021,philippines,
OR971485,2021,philippines,
OR971484,2021,philippines,
OR971483,2019,philippines,
OR971482,2022,philippines,
OR971481,2022,philippines,
OR971480,2022,philippines,
OR971479,2022,philippines,
OR971478,2022,philippines,
OR971477,2022,philippines,
OR971476,2022,philippines,
OR971475,2022,philippines,
OR971474,2022,philippines,
OR971473,2022,philippines,
OR971472,2022,philippines,
OR971471,2022,philippines,
OR971470,2022,philippines,
OR971469,2021,philippines,
OR971468,2021,philippines,
OR971467,2021,philippines,
OR971466,2021,philippines,
OR971465,2021,philippines,
OR971464,2021,philippines,
OR971463,2021,philippines,
OR971462,2021,philippines,
OR971461,2021,philippines,
OR971460,2021,philippines,
OR971459,2020,philippines,
OR971458,2020,philippines,
OR971457,2020,philippines,
OR971456,2019,philippines,
OR971455,2019,philippines,
OR971454,2019,philippines,
OR971453,2019,philippines,
OR971452,2019,philippines,
OR971451,2019,philippines,
OR971450,2019,philippines,
OR971449,2019,philippines,
OR971448,2019,philippines,
OR971447,2019,philippines,
OR971446,2022,philippines,
OR971445,2022,philippines,
OR971394,2019,philippines,
OR971393,2019,philippines,
OR971392,2022,philippines,
OR971391,2022,philippines,
OR971390,2022,philippines,
OR971389,2021,philippines,
OR971388,2021,philippines,
OR971387,2021,philippines,
OR971386,2021,philippines,
OR971385,2019,philippines,
OR971384,2019,philippines,
OR971383,2019,philippines,
OR971382,2019,philippines,
OR971381,2019,philippines,
OR971380,2022,philippines,
OR971379,2022,philippines,
OR971378,2022,philippines,
OR971377,2022,philippines,
OR971376,2022,philippines,
OR971375,2022,philippines,
OR971374,2022,philippines,
OR971373,2022,philippines,
OR971372,2022,philippines,
OR971371,2022,philippines,
OR971370,2022,philippines,
OR971369,2022,philippines,
OR971368,2022,philippines,
