Sample_ID,Case_no,Accession,Host,Sample_type,Preferred_date,Date_source,Barangay,Municipality,Province,Region,Latitude,Longitude,Source,Author,Pubmed,Genome_coverage
18-092,NA,OQ326757,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-114,NA,OQ326756,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-101,NA,OQ326755,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
R11-2022-32,NA,OR971639,Canis lupus familiaris,brain,5-Feb-22,NA,NA,NA,Davao de Oro (Compostela Valley),Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R11-2022-30,NA,OR971638,Canis lupus familiaris,brain,25-Apr-22,NA,NA,NA,Davao del Norte,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534
R11-2022-28,NA,OR971637,Canis lupus familiaris,brain,4-Jan-22,NA,NA,NA,Davao del Norte,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534
R11-2022-15,NA,OR971633,Canis lupus familiaris,brain,15-Feb-22,NA,NA,NA,Davao del Norte,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959
R11-2022-14,NA,OR971632,Canis lupus familiaris,brain,15-Feb-22,NA,NA,NA,Davao del Norte,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534
R11-2021-61,NA,OR971628,Canis lupus familiaris,brain,14-Oct-21,NA,NA,NA,Davao del Norte,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342
R11-21-63,NA,NA,Canis familiaris,NA,4-Oct-21,NA,,Tagum,Davao del Norte,Region XI (Davao Region),7.434951203,125.7990149,phd,NA,NA,NA
R11-2022-33,NA,OR971640,Canis lupus familiaris,brain,5-May-22,NA,NA,NA,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959
R11-2022-25,NA,OR971636,Canis lupus familiaris,brain,25-Mar-22,NA,NA,NA,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959
R11-2022-19,NA,OR971635,Canis lupus familiaris,brain,3-Nov-22,NA,NA,NA,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
R11-2022-16,NA,OR971634,Canis lupus familiaris,brain,15-Feb-22,NA,NA,NA,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
R11-2022-11,NA,OR971631,Canis lupus familiaris,brain,2-Apr-22,NA,NA,NA,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534
R11-2022-07,NA,OR971630,Canis lupus familiaris,brain,18-Jan-22,NA,NA,NA,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534
R11-2021-68,NA,OR971629,Canis lupus familiaris,brain,12-Jul-21,NA,NA,NA,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
