#node	date	numeric date
NODE_0000462	2009-10-10	2009.775013
OR971663	2021-06-23	2021.476710
NODE_0000464	2010-01-06	2010.015713
NODE_0000465	2018-01-19	2018.051328
OR971615	2019-12-26	2019.986300
R10-990	2021-11-24	2021.898630
NODE_0000466	2011-06-11	2011.441406
NODE_0000467	2013-09-14	2013.702759
OR971649	2019-11-07	2019.849320
NODE_0000468	2019-06-01	2019.414497
OR971606	2019-11-08	2019.854790
OR971601	2019-10-10	2019.775340
NODE_0000469	2011-08-24	2011.644196
NODE_0000470	2014-08-10	2014.605518
OR971609	2019-11-28	2019.906850
OR971604	2019-11-07	2019.849320
NODE_0000471	2016-11-18	2016.880709
OQ326775	2018-01-01	2018.000000
NODE_0000472	2017-12-09	2017.939643
OR971661	2021-03-02	2021.167120
NODE_0000473	2018-03-14	2018.199623
OR971662	2021-03-08	2021.183560
NODE_0000474	2020-06-30	2020.495409
OR971653	2021-01-14	2021.035620
R11-21-63	2021-10-03	2021.756160
NODE_0000475	2015-05-06	2015.342940
OR971614	2019-12-15	2019.956160
NODE_0000476	2017-02-03	2017.091565
R10-856	2021-09-27	2021.736990
OR971605	2019-11-07	2019.852050
NODE_0000478	2018-02-05	2018.098024
OR971603	2019-10-21	2019.802740
NODE_0000479	2019-12-15	2019.955299
OR971616	2021-09-05	2021.679450
OR971625	2021-04-21	2021.301370
OR971621	2021-06-09	2021.435620
NODE_0000483	2021-03-28	2021.236334
OR971617	2021-09-27	2021.736990
R10-920	2021-10-26	2021.816440
NODE_0000484	2020-11-04	2020.844220
R10-907	2021-10-25	2021.813700
R10-711	2021-07-12	2021.526030
R10-824	2021-09-08	2021.687670
R10-714	2021-07-11	2021.523290
NODE_0000487	2004-11-16	2004.876971
NODE_0000488	2015-07-29	2015.573673
NODE_0000489	2022-02-15	2022.123290
OR971634	2022-02-15	2022.123290
OR971635	2022-03-10	2022.189040
NODE_0000490	2016-11-11	2016.863145
OQ326738	2018-01-01	2018.000000
OQ326758	2018-01-01	2018.000000
NODE_0000491	2009-02-04	2009.095570
NODE_0000492	2019-09-16	2019.707455
R10-688	2021-07-01	2021.498630
NODE_0000493	2020-09-04	2020.675278
OR971618	2021-08-23	2021.641100
OR971619	2021-08-20	2021.632880
NODE_0000494	2013-05-24	2013.392628
NODE_0000495	2015-02-02	2015.089843
NODE_0000496	2015-06-14	2015.451680
NODE_0000497	2017-10-02	2017.753335
OR971642	2019-06-07	2019.430140
OR971651	2021-01-11	2021.027400
NODE_0000498	2017-07-12	2017.526899
OR971645	2019-07-22	2019.556160
NODE_0000499	2019-12-04	2019.925443
OR971658	2021-02-16	2021.126030
OR971654	2021-01-19	2021.049320
NODE_0000500	2016-03-27	2016.237404
NODE_0000501	2017-12-21	2017.971647
OR971664	2021-06-30	2021.495890
OR971647	2019-08-26	2019.652050
NODE_0000502	2018-07-29	2018.573834
NODE_0000503	2018-11-02	2018.836797
OR971657	2021-02-16	2021.126030
OR971665	2021-08-09	2021.602740
NODE_0000504	2019-08-14	2019.617497
OR971660	2021-02-23	2021.145210
OR971650	2021-01-05	2021.010960
OR971666	2021-08-09	2021.602740
NODE_0000506	2014-01-03	2014.006548
NODE_0000507	2014-05-19	2014.378372
NODE_0000508	2015-07-17	2015.541292
OR971641	2019-01-09	2019.021920
OR971648	2019-09-04	2019.676710
NODE_0000509	2017-01-23	2017.062549
OR971652	2021-01-11	2021.027400
NODE_0000510	2017-09-27	2017.739182
OR971646	2019-08-01	2019.583560
NODE_0000511	2018-09-14	2018.703449
OR971643	2019-06-18	2019.463010
OR971655	2021-02-01	2021.087670
NODE_0000512	2015-02-01	2015.086604
NODE_0000513	2020-10-08	2020.770142
OR971594	2021-08-20	2021.632880
R9-074	2021-08-20	2021.632880
NODE_0000514	2015-09-18	2015.714128
OR971597	2021-07-10	2021.520550
NODE_0000515	2016-04-07	2016.266694
NODE_0000516	2017-11-05	2017.844646
OR971598	2021-12-10	2021.939730
NODE_0000517	2018-08-12	2018.611909
OR971611	2019-12-04	2019.923290
OR971612	2019-12-04	2019.923290
NODE_0000518	2017-10-17	2017.792870
OR971595	2021-08-23	2021.641100
NODE_0000519	2018-11-28	2018.907622
R9-010	2020-01-27	2020.071040
OR971596	2021-08-26	2021.652050
OR971593	2021-01-05	2021.010960
NODE_0000262	1980-04-12	1980.278821
NODE_0000263	1987-03-26	1987.232087
KX148262	1994-01-01	1994.000000
NODE_0000264	2009-07-24	2009.559075
NODE_0000265	2016-07-24	2016.561928
OR971396	2019-10-03	2019.756160
NODE_0000266	2017-06-23	2017.476229
NODE_0000267	2019-01-08	2019.019786
OR971342	2022-06-01	2022.413700
OR971325	2019-09-16	2019.706850
NODE_0000268	2018-07-02	2018.499704
OR971393	2019-08-20	2019.632880
NODE_0000269	2019-10-12	2019.778912
R2-22-5302	2022-03-03	2022.169860
NODE_0000270	2020-04-27	2020.321506
OR971404	2021-05-10	2021.356160
NODE_0000271	2021-03-01	2021.162165
OR971402	2021-08-13	2021.613700
OR971406	2021-12-26	2021.986300
OR971407	2021-12-29	2021.994520
NODE_0000273	2012-08-26	2012.652950
NODE_0000274	2017-04-03	2017.252982
NODE_0000275	2018-03-20	2018.215084
OR971332	2021-03-10	2021.189040
OR971394	2019-01-01	2019.000000
NODE_0000276	2017-11-11	2017.862998
R2-081	2020-08-30	2020.663930
OR971327	2019-09-23	2019.726030
OR971323	2019-08-26	2019.649320
NODE_0000278	2015-11-21	2015.889664
NODE_0000279	2016-02-18	2016.132340
OR971398	2019-10-07	2019.767120
OR971399	2019-10-09	2019.772600
NODE_0000281	2020-01-06	2020.016185
OR971400	2021-09-07	2021.684930
OR971333	2021-05-03	2021.334250
NODE_0000282	2016-12-24	2016.979089
NODE_0000283	2021-01-04	2021.009775
R2-22-8924	2022-01-01	2022.000000
R2-22-84711	2022-04-05	2022.260270
NODE_0000284	2019-01-02	2019.003647
R2-22-5814	2022-03-06	2022.178080
NODE_0000285	2022-01-01	2022.000000
OR971345	2022-10-02	2022.753420
CAR-22-018	2022-01-01	2022.000000
NODE_0000261	1981-05-31	1981.412975
NODE_0000521	1981-09-12	1981.696619
NODE_0000522	1989-11-28	1989.909349
KX148259	1994-01-01	1994.000000
NODE_0000523	1995-06-25	1995.481675
Z-98-838	1998-08-09	1998.602740
NODE_0000524	1999-04-06	1999.261076
KX148260	2004-01-01	2004.000000
Z-06-39	2006-01-25	2006.068490
NODE_0000525	1984-09-08	1984.686442
KX148261	1994-01-01	1994.000000
NODE_0000526	1990-08-19	1990.630631
NODE_0000527	2005-05-27	2005.400933
RADDL3-1045	2015-10-23	2015.808220
NODE_0000528	2014-04-25	2014.312473
RADDL1-16-153	2016-07-18	2016.543720
NODE_0000529	2014-10-26	2014.818305
RADDL3-16-1008	2016-10-26	2016.819670
NODE_0000530	2018-03-02	2018.164620
OR971381	2019-09-09	2019.690410
OR971390	2022-04-03	2022.254790
OR971392	2022-04-21	2022.301370
NODE_0000532	1991-11-20	1991.886601
NODE_0000533	2000-01-06	2000.014164
NODE_0000534	2016-08-24	2016.646851
153	2018-05-16	2018.372600
NODE_0000535	2016-10-28	2016.824039
NODE_0000536	2017-06-25	2017.482061
REGION_5_2018-100	2018-03-27	2018.232880
14	2019-01-27	2019.073970
NODE_0000538	2018-05-27	2018.402528
OR971506	2019-03-06	2019.178080
NODE_0000539	2020-08-16	2020.624451
OR971519	2021-03-22	2021.219180
OR971515	2021-01-31	2021.084930
NODE_0000540	2017-05-22	2017.387641
NODE_0000322	2017-10-07	2017.765808
OR971509	2021-01-11	2021.027400
NODE_0000542	2018-07-14	2018.531570
19-40	2019-02-26	2019.156160
19-30	2019-11-02	2019.835620
NODE_0000543	2017-09-01	2017.665984
REGION_5_2018-304	2018-10-25	2018.813700
NODE_0000544	2017-10-29	2017.826032
REGION_5_2018-50	2018-12-19	2018.967120
NODE_0000545	2018-09-03	2018.673609
REGION_5_2019-13	2019-01-17	2019.043840
REGION_5_2019-1	2019-03-20	2019.213700
NODE_0000546	2008-11-06	2008.847116
NODE_0000547	2016-01-20	2016.052338
NODE_0000548	2019-04-21	2019.302576
OR971523	2021-04-11	2021.276710
NODE_0000549	2020-03-12	2020.196458
OR971516	2021-03-04	2021.172600
NODE_0000550	2020-12-15	2020.955282
OR971518	2021-03-22	2021.219180
R5-21-128	2021-11-08	2021.854790
NODE_0000551	2017-02-09	2017.107463
NODE_0000552	2019-06-26	2019.482323
OR971530	2021-05-03	2021.334250
R5-21-140	2021-12-10	2021.939730
NODE_0000553	2018-11-14	2018.869705
OR971529	2021-05-03	2021.334250
NODE_0000555	2019-10-11	2019.777691
OR971512	2021-01-31	2021.084930
R5-21-115	2021-09-28	2021.739730
NODE_0000556	2019-01-24	2019.065487
NODE_0000557	2020-12-23	2020.977880
OR971524	2021-04-18	2021.295890
OR971514	2021-01-31	2021.084930
NODE_0000558	2020-01-29	2020.076643
OR971533	2021-05-09	2021.353420
OR971513	2021-01-31	2021.084930
NODE_0000559	2014-11-12	2014.864645
RADDL5-005	2015-01-29	2015.079450
NODE_0000561	2019-12-26	2019.985454
OR971532	2021-05-06	2021.342470
NODE_0000562	2020-05-22	2020.388202
OR971517	2021-03-04	2021.172600
NODE_0000563	2021-11-14	2021.871230
R5-21-132	2021-11-14	2021.871230
R5-22-008	2022-02-01	2022.087670
NODE_0000564	2017-02-04	2017.094738
REGION_5_2018-311	2018-11-12	2018.865750
NODE_0000565	2017-11-10	2017.860250
OR971505	2018-12-07	2018.931510
NODE_0000566	2018-03-10	2018.188954
OR971531	2021-05-05	2021.339730
NODE_0000567	2018-07-22	2018.555270
OR971508	2021-01-05	2021.010960
OR971511	2021-01-19	2021.052050
NODE_0000569	2019-12-01	2019.915778
OR971525	2021-04-18	2021.295890
R5-21-136	2021-12-02	2021.917810
OR971510	2021-01-19	2021.049320
NODE_0000571	1992-05-29	1992.407296
Z-98-433	1998-04-30	1998.326030
NODE_0000572	1994-08-10	1994.607663
NODE_0000573	2000-03-16	2000.207075
NODE_0000574	2003-04-17	2003.292659
Z-05-191	2005-04-09	2005.271230
Z-05-96	2005-02-17	2005.128770
NODE_0000575	2016-06-10	2016.441004
NODE_0000583	2017-04-17	2017.291507
OR971522	2021-04-02	2021.249320
NODE_0000584	2020-06-01	2020.416895
OR971521	2021-03-22	2021.219180
R5-22-09	2022-02-07	2022.101370
NODE_0000585	2016-12-28	2016.989196
OR971498	2018-02-08	2018.104110
NODE_0000586	2017-04-14	2017.283119
OR971500	2018-02-26	2018.156160
OR971501	2018-02-26	2018.156160
NODE_0000588	2020-10-22	2020.807458
OR971526	2021-04-26	2021.315070
NODE_0000589	2021-03-03	2021.169857
OR971528	2021-04-26	2021.315070
OR971520	2021-03-22	2021.219180
NODE_0000576	2017-01-22	2017.059645
NODE_0000577	2020-05-14	2020.366413
OR971507	2021-01-05	2021.010960
NODE_0000578	2020-08-11	2020.609457
OR971527	2021-04-27	2021.317810
R5-21-119	2021-10-14	2021.786300
NODE_0000579	2017-06-26	2017.484509
OR971504	2018-09-14	2018.701370
OR971503	2018-08-10	2018.605480
NODE_0000581	2017-10-26	2017.817481
OR971502	2018-05-02	2018.331510
OR971499	2018-02-20	2018.136990
NODE_0000590	1998-06-30	1998.493213
NODE_0000591	2002-10-29	2002.826478
NODE_0000592	2016-09-05	2016.679943
OR971397	2019-10-06	2019.764380
OR971395	2019-09-20	2019.717810
NODE_0000593	2006-04-10	2006.273726
Z-07-366	2007-11-11	2007.863010
Z-07-387	2007-12-07	2007.931510
NODE_0000594	2005-08-24	2005.644976
Z-12-029	2012-02-02	2012.090160
NODE_0000595	2007-03-17	2007.207405
NODE_0000596	2011-12-06	2011.929833
OR971534	2019-04-14	2019.284930
NODE_0000597	2021-08-12	2021.612915
